I have to go to sleep.;mi ken ala lape ala. taso mi wile ala lape.
Most people think I'm crazy.;jan mute li pilin e ni: mi nasa.
I love you.;mi olin e sina.
Would you like something to drink?;sina wile ala wile e moku telo?
Do you speak Italian?;sina toki ala toki kepeken toki Italija?
He's very sexy.;ona li unpa lukin kin.
Computers make people stupid.;ilo sona li nasa e jan.
Life is beautiful.;ale li pona.
Where is the bathroom?;tomo telo li lon seme?
I want an MP3 player!;mi wile e ilo pi kalama musi. a!
Where are you?;sina lon seme?
Speech is silver, but silence is golden.;toki li kiwen walo. toki ala li kiwen jelo.
Do you believe in God?;sina pilin ala pilin e ni: jan sewi li lon?
I wish you had told me the truth.;mi wile e ni: sina toki e lon tawa mi.
What are you looking for?;sina alasa e seme?
Did you try to review the English lessons?;tenpo sin la sina kama ala kama sona pi toki Inli?
Do you like Mozart's music?;kalama musi pi jan Mosat li pona ala pona tawa sina?
Why do you want to study abroad?;sina wile sona lon tomo sona pi ma ante tan seme?
What are you doing?;sina pali e seme?
You don't like chocolate, do you?;suwi li ike tawa sina anu seme?
Do you have one?;sina jo ala jo e ni?
You may go there.;sina ken tawa ni.
Your efforts will soon pay off.;tenpo kama lili la pali sina li pana e mani.
Go back to your seat.;o tawa supa monsi sina.
I want to see you again.;mi wile lukin sin e sina.
The sky was full of stars.;ali kon li jo e mun.
You can see a lot of stars in the sky.;sina ken lukin e suno lili mute lon sewi.
No sweet without sweat.;jan li wile e ijo suwi la jan li wile pali kiwen.
Whoever goes to church believes in God.;jan li tawa tomo pi jan sewi la ona li pilin e ni: jan sewi li lon.
Don't be afraid.;o pilin monsuta ala.
Did you enjoy your holiday?;tenpo weka pali li pona ala pona tawa sina?
You are beautiful.;sina pona lukin.
You study English.;sina kama sona e toki Inli.
Do you feel sick?;sina pilin ike ala ike?
I see a flower on the desk.;mi lukin e kasi kule lon supa.
There is an apple under the desk.;kili li lon anpa pi supa sitelen.
Don't let your feelings show.;o open ala e pilin sina.
Don't let your feelings show.;jan o lukin ala e pilin sina.
I want something sweet.;mi wile moku e suwi.
I feel cold.;mi pilin lete.
I'm freezing.;mi pilin lete.
Admission to students only.;jan pi kama sona taso li ken kama insa.
Go to school.;o tawa tomo sona!
The sea got rough, so that we had to give up fishing.;telo suli li kama wawa. mi mute li wile pini e ni: mi mute li alasa e kala.
Our project collapsed.;pali mi li pakala.
